Year,PRODUCTION,NOT HARVESTED,NOT SOLD,UTILIZED
2007,"2,700,000",,,"1,092,000"
2008,"4,700,000","1,000,000","100,000","1,961,000"
2009,"4,800,000","600,000","100,000","2,715,000"
2010,"3,800,000","600,000","100,000","2,228,000"
2011,"4,000,000","500,000","200,000","2,187,000"
2012,"700,000","500,000","400,000","135,000"
2013,"8,100,000","900,000","100,000","4,755,000"
2014,"4,500,000","600,000","800,000","2,961,000"
2015,"4,800,000",,,"3,453,000"
